Question,Choices,Ground Truth Explanation,Correct Choice,T5 Prediction,LLaMA Prediction
Sam turned on the projector and showed his powerpoint presentation to his partners.  Where might he be?,"theatre, conference, show films, movies, meeting",Powerpoint presentation are shown in meetings where business partners are present. Powerpoint presentation are not shown at theaters or conference. show films or movies are not a place.,meeting,meeting,meeting
If you are starting a fire on purpose and are caught what will happen?,"death, burns, warmth, go to jail, get a reward",If you are caught while starting a fire on purpose then you will have to go to jail. Death might not happen by starting a fire on purpose. Burns dont happens if a person is caught. Warmth is not a correct option. A person might not get a reward on being caught when starting a fire on purpose.,go to jail,go to jail,go to jail
What is it called when you are killing people because they are bad?,"war, get arrested, joy, going to prison, vengeance",Vengeance means punishment inflicted or retribution exacted for an injury or wrong. It is called vengeance when you are killing people because they are bad. Killing people is not a war. War is between countries or group of people and not restricted to a particular person. Get arrested is the action taken by police for the crime done and is not called as when you are killing people. Joy and killing people are in no way interrelated and killing people doesn’t bring joy and so irrelevant. Going to prison is when you are convicted for killing peoples and not because you are bad and killing peoples.,vengeance,vengeance,vengeance
Why might someone be going into a trance?,"disorientation, loss of control, closed eyes, hallucination, confusion",Trance is the state of unconsciousness of surroundings thereby causing loss of control. Loss control is reason for going into trance. Other options won't cause trance.,loss of control,loss of control,loss of control
"What room, that doesn't normally have a side chair, helps you work from home?","bedroom, bathroom, building, table, office",Work can be done from an office room. There is no side chair in an office room. Bedroom or bathroom is not a place from where we can work from home. Building or table is not a room.,office,office,office
How does a bishop move from one place to another?,"chess game, church, in a car, queen, cathedral",Bishop is the name of a piece in chess who can move when the game of chess is running. A bishop won’t be in a car and a queen is a person and not a way to move. The bishop in the other options won’t move from one place to another.,chess game,chess game,chess game
What does an emotional person tend to be?,"expressive, excited, drunk, headache, eat every day",A person is called emotional when he shows a lot of emotions. A person who shows a lot of emotions is called expressive. Emotional people are not always excited or drunk. Headache is not related to being an emotional person. Eating everyday is not related to being emotional.,expressive,expressive,expressive
"If people are shot in the head by a bullet, what is the likely result?","believe in god, migraine, complete high school, die suddenly, cross river","Head holds the most important organ of the body, brain. A person cannot be alive without a brain. If someone is shot in the brain, he dies immediately. Believe in god, complete high school and cross river are irrelevant options. Migraine is not the result of gun shot wound in the head.",die suddenly,die suddenly,die suddenly
"The security detail had to keep an eye on the entire crowd, they were constantly scanning all the what?","potato, body, focus, faces, person's head",There are different faces in the crowd. The security detail were constantly scanning all the faces. Focus cant be scanned. They dont scan person's head or potato or body.,faces,faces,faces
What would you be if you comfort friend?,"cook, make tea, hurtful, friendly, hug","When friend is sad, we should comfort them by understanding their situation and showing friendly gesture. In no means we can comfort a friend by cooking or making a tea. Also hug is not necessary to comfort friend and being hurtful is an opposite thing of comfort.",friendly,friendly,friendly
Where would a soprano sing live for money?,"opera house, movie, choit, theater, choir",A soprano would sing live at an opera house for money. Soprano dont sing in a movie. A soprano might not sing live in choit or choir. Theater is not a place where a soprano sing.,opera house,opera house,opera house
What do you do after you reproduce?,"accidently got pregnant somehow, have children, raise children, offspring, extra copies for gang","You need to raise children after you reproduce. You cant accidently or somehow got pregnant after you reproduce. After you reproduce you dont immediately have children. Offsprings do not, immediately, came into existence after you reproduce. 'Extra copies of gang' do not suits with the given question.",raise children,raise children,raise children
"The shark realized it was in northern california, where was it likely?","sea world, tropical waters, tomales bay, aquarium, great oceans",Tomales bay is in northern california. Sharks are there at tomales bay. Sea world is not a place at northern california. Tropical waters or great oceans are not there at northern california. Sharks are not there in acquarium.,tomales bay,tomales bay,tomales bay
What type of areas have parking lots for stores?,"urban area, business district, airport, amusement park, commercial",Stores are small shopping places which are seen in urban areas. These places have designated parking lots. Other options do not have stores or parking lots specifically for stores.,urban area,urban area,urban area
The audience got up at intermission and bought pop corn.  What might they be watching?,"movies, school, theatre, event, new york",Movie is a cinema film with a short break called an intermission. The audience who got up at intermission were watching a movie. All the other options are not something that can be watched.,movies,movies,movies
A motorcycle is quicker because it isn't as what as a car?,"heavy, shiny, red, obesity, expensive","Car is a heavy vehicle and not an obese vehicle. Motorcycle is not a heavy vehicle and being heavy makes vehicles go slower while being shiny, red and expensive do not.",heavy,heavy,heavy
Is there a way for people going into trance to see things that do not exist?,"meditate, medicated, confusion, epilepsy, hallucination",Hallucination means imagining unreal things which are things that don't exist. People in trance can have hallucinations. Other options may not cause one to see things that don't exist.,hallucination,hallucination,hallucination
"Where might I ruin some papers if I place my coffee mug there, and it spills?","table, cupboard, shelf, kitchen, desktop","We work on desktop with papers and if we place coffee mug on desktop, it spills and some papers might get ruined. However we do not work on table hence papers are not lying on table. While cupboard and shilf are not meant to put papers and similarly we do not take papers in kitchen",desktop,desktop,table
What do you compete against someone in?,"fair, false start, competitive, in competition, practice",You compete against someone in a competition because it’s a contest in which people participate to establish superiority in a particular area. Fair isn’t a valid answer because it’s a travelling show with games and rides. False start isn’t a valid answer as a race will be invalid if a racer started before the official start signal. Being competitive isn’t the valid answer as there maybe competitors who’re not competitive. Practice isn’t the valid because one doesn’t practice among their competitors.,in competition,in competition,Invalid Prediction
What does a child learn to do in a lake?,"become adult, row boat, drive, go out to play, begin school","One needs to learn to row boat which is done in a lake while driving, going out to play and beginning school are not. Rowing boat is an activity while becoming adult is not.",row boat,row boat,row boat
"A man was driving himself to the airport, where did he put his luggage?","closet, at hotel, sidewalk, bus stop, trunk","When the man is driving towards airport, he will keep his luggage at back in trunk of vehicle. While a man is driving towards airport, he cannot keep it in closet as he does not carry cupboard. Hotels are not used while driving and sidewalk and bus stop are invalid options as they are not in driving towards airport.",trunk,trunk,trunk
"The atheist extolled virtues of secular thought, what ideas was he likely opposing?","eternal, religious, church, monastic, unpredictable","Atheist is the one who dont believe in religion. Religious views are ideas that are opposed by an atheist. Church, eternal or Unpredictable is not an idea. Atheist are monastic.",religious,religious,religious
What is the reason for having a gardener?,"manicure the lawn, garden backyards, water plants, grow plants, pick flowers","Plants need to be taken care of, for them to grow well. So we need a gardener to do it. All other options come under growing plants.",grow plants,grow plants,garden backyards
"A regular everyday human would just call it a meeting, but people like cardinals might call it a what?","conclave, sanctuary, homes, mortuary, stadium","Cardinals are a leading dignitary of the roman catholic church, nominated by pope which elects succeeding popes. Cardinals always be specific in words and so Conclave is a private meeting. Sanctuary, Homes, Mortuary and Stadium is not what cardinals might call a meeting pace.",conclave,conclave,conclave
"If a person wants to sort a pile of stuff, they must start by what?","control computer, go on vacation, cross street, gain weight, separate things","Sorting means arranging things in an orderly fashion. One must separate things first to sort them. Controlling computer is not helpful in sorting a pile of stuff. Going on a vacation, cross street and gain weight are not helpful in sorting a pile of stuff.",separate things,separate things,separate things
What can we assume about people who get up early?,"go sleep early, ask spouse to wake, fix up alarm, go to bed early, get rooster","People generally try to maintain a steady sleep cycle so if they get up early, they go to sleep early. Going to bed early doesn't necessarily mean they'll go to sleep and people generally don't get a rooster. Not all spouses ask the other spouse to wake up after getting up and those who get up early may not need to fix up alarm..",go sleep early,go to bed early,go to bed early
Starting in the mouth and passing through the throat what organ is where food passes through the body?,"neck, upper respiratory tract, throatplate, throatplate, alimentary canal","Alimentary canal is the whole passage along which food passes through the body from mouth to anus during digestion. Starting in the mouth and passing through throat food passes through the body by alimentary canal. By neck, food cant pass throughout the body. Upper respiratory tract is not used for passing the food. Throatplate is not any organ in the body.",alimentary canal,alimentary canal,alimentary canal
Why do people want to read fiction books?,"having fun, falling asleep, learn new things, learn unknown concepts, memorize","For having fun, people want to read fiction books. Fiction book dont let a person to learn unknown concepts, new things and fall asleep. The word memeoize dont fits in the given sentence.",having fun,having fun,having fun
If a person strives for happier circumstances in what is it called?,"american dream, better life, complimented, headache, own house",The American Dream is a national ethos of the United States. The ethos today implies an opportunity for Americans to achieve prosperity through hard work. Striving for happier circumstances means working hard for achieving prosperity. Striving for better circumstances does not mean better life. Complimented and headache are irrelevant options. Happier circumstances does not always mean having own house.,american dream,american dream,american dream
"In the children's book the cat was a great knight, it had finished its quest and was returning to the castle to what?","see king, meow, have fleas, sleep all day, live many years",One can see the king inside the castle and cannot meow or sleep all day. A great knight can see the king and cat is a non-human animal but a great knight cannot have fleas or live many years.,see king,see king,see king
