Question;Correct Choice;Ground Truth Explanation;Generated Explanation (T5);Generated Explanation (LLaMA);Ground Truth Ratings;T5 Ratings;T5 Human Ratings 1;T5 Human Ratings 2;LLaMA Ratings;LLaMA Human Ratings 1;LLaMA Human Ratings 2;T5 Similarity;LLaMA Similarity;T5 BERTScore;LLaMA BERTScore;T5 BLEURT;LLaMA BLEURT
If someone is fiddling a fiddle at random, what song are they likely to play next?;unpredictable;Song can be predicted by its music but if artist is playing violin randomly then unpredictable song is likely to play.Dancing about cannot be the song that artist play always after random violin music. Being happy or Troubles is not suitable option here.They play cricket is not relevant option here.;fiddling a fiddle at random is a way of playing a song.;"Fiddle refers to violin which has four strings, whereas ""fiddle"" here implies playing music randomly without any rhythm or pattern so there will no specific song played next by the person who plays with a fiddle.";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 1
well_written: 1 
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 1
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 4 
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 1
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";0.51;0.42;0.85;0.84;-1.28;-0.83
A night owl is what you'd head at sunset and you'd hear a what at sunrise?;lark;A lark is a bird that one can hear at sunrise. All the other options are not related to a night owl.;a night owl is what you'd head at sunset and you'd hear a lark at sunrise;Larks are birds which make sound during morning time or early hours of day i.e., dawn. They are also called Morning Birds. Thus, option C is correct choice here.;"supports: 2
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 1
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 5
well_written: 0
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";0.8;0.82;0.88;0.88;-0.81;0.04
Where can you buy eggs along side many other types of food?;supermarket;supermarket have eggs and many variety of other food and supermarket is place where all food items are sold.egg carton doesnt have any other food but eggs.refridgerator is not place where eggs are sold. breakfast is meal not place where food item are sold.chicken coop doesnt have any other food item for sale.;supermarkets sell eggs and other foods.;Supermarkets sell all kinds of goods including vegetables ,fruit etc. and also egg which makes them the best choice among others to buy eggs . Other choices are wrong because they don’t serve or sell anything apart from just eggs only.;"supports: 1
overall: 4
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";0.74;0.72;0.87;0.85;-0.66;-0.21
The child was taken against its will and what the parents?;away from;Children's will is to generally live with their parents and against children's will would to be to take them away from parents. All the other options are not what happens when children are taken against their parents.;the child was taken against its will and what the parents away from.;Child has no way or freedom to decide whether she/he wants to stay with her/his family members or leave them and live elsewhere alone. So, the sentence “The child was taken” suggests that the parents took their own son / daughter somewhere;"supports: 1
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 1
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";0.68;0.51;0.87;0.86;-1.18;-0.46
The person answered the door when the mailman knocked, what likely happened next?;receive mail;Mailman is a person who brings mail. When a mailman comes to one's door, the person usually receives mail. One does not arm himself when a mailman knocks on the door. People do not cross street when a mailman knocks on the door. Feel sleepy is an irrelevant option. Dogs do not always bark when a mailman knocks on the door.;the person answered the door when the mailman knocked, what likely happened next was receive mail.;Mailman delivers mails to recipient only if someone answers their knocks or rings. If no one opens the door then there will be no delivery of letters by post office staff members. Recipients who open doors after receiving knocks receive;"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1 
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";0.62;0.7;0.87;0.85;-0.86;-0.41
The water spout wouldn't turn off.  Eventually, what was totally filled?;sink;A sink can be found filled with water. As the water spout wouldn't turn off so eventually sink was totally filled. The kitchen cant be found filled with water. Fountain cant be filled if water sout wouldn't turn off. Access to water is not a correct option. Florida and water spout are not related to each other.;sink is a water spout;Water overflowing from tap or shower will eventually fill up sinks if there is no stoppage mechanism such as a valve, which would stop its flow into the sink once tapped closed.;"supports: 1
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";0.65;0.52;0.86;0.84;-1.8;-0.63
What does a round glass do?;hold water;A round glass is a container made to hold substances like liquids. So a round glass holds water. A round glass doesn't do anything else as given in the other options.;a round glass holds water;"Glass containers come in all shapes and sizes; however, a typical container used for holding liquid has rounded edges (hence called “round”) and a flat base. It holds water, which makes them suitable for keeping drinks cold or hot";"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 0
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";0.77;0.76;0.89;0.86;-0.67;-0.02
Where would you find cloth to sleep on?;bedroom;Bedroom can have clothes and one sleeps in the bedroom and not in the kitchen, fabric store or a garage. Bedroom is a room in the house unlike a linen closet.;bedroom is a place to sleep.;Cloths used for covering up the mattress inside the bedroom are called blankets or comforters. These words don't mean any type of clothes worn by people (pajama) , curtains(curtain),;"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 3
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 4
well_written: 0
related: 0
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";0.76;0.51;0.86;0.85;-0.84;-0.75
Where would you find several businesses in the same location?;office building;An office business can have several businesses which can exist in the same location. Office building has a registered address unlike art or a big city. A part cannot have several businesses and a skyscraper need not only have businesses.;offices are often located in a building.;An Office Building houses multiple offices under one roof. Offices share common facilities such as restrooms and meeting rooms. These buildings offer flexible space solutions to tenants by dividing large spaces into smaller units. Many small or medium-sized companies prefer;"supports: 4
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 3
unnecessary_info: 1
contrastive: 1";0.69;0.67;0.86;0.85;-0.65;-0.27
what happens to a company when it is bankrupt?;liquidated;When a company is bankrupt, its liquidated as its assets are converted into cash. A bankrupt company doesn’t have resources are its converted to cash. It can’t branch out nor commit crime as its not functioning being liquidated. Game over is not a valid answer because there is no game in a company going bankrupt.;liquidation is the process of reorganizing a company.;Bankruptcy refers to insolvency or being unable to repay debts by a person or organization. Liquidation is the process of selling off all assets (such as property) owned by the business so that creditors may;"supports: 0
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 3
unnecessary_info: 1
contrastive: 1";0.56;0.65;0.85;0.84;-0.89;-0.14
