Question,Correct Choice,Ground Truth Explanation,Generated Explanation (T5),Generated Explanation (LLaMA),Ground Truth Ratings,T5 Ratings,T5 Human Ratings,LLaMA Ratings,LLaMA Human Ratings,T5 Similarity,LLaMA Similarity,T5 BERTScore,LLaMA BERTScore,T5 BLEURT,LLaMA BLEURT,Kendall Tau (Ground Truth vs T5),Kendall Tau (Ground Truth vs LLaMA),Kendall Tau (Ground Truth vs T5 Human),Kendall Tau (Ground Truth vs LLaMA Human),Krippendorff's Alpha
"If someone is fiddling a fiddle at random, what song are they likely to play next?",unpredictable,Song can be predicted by its music but if artist is playing violin randomly then unpredictable song is likely to play.Dancing about cannot be the song that artist play always after random violin music. Being happy or Troubles is not suitable option here.They play cricket is not relevant option here.,fiddling a fiddle at random is a way of playing a song.,Fiddle refers to violin. Violin has 4 strings. Thus it can produce many sounds and songs. This means if someone plays violin at random then their next tune will also be different from previous ones. Unpredictability makes sense,"{'supports': 1, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 0, 'overall': 0, 'well_written': 1, 'related': 4, 'factual': 2, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 4, 'overall': 3, 'well_written': 3, 'related': 4, 'factual': 4, 'new_info': 4, 'unnecessary_info': 4, 'contrastive': 2}",0.51,0.48,0.85,0.85,-1.28,-0.42,0.235294117647059,0.582181736427459,-0.114332390095006,-0.117647058823529,
A night owl is what you'd head at sunset and you'd hear a what at sunrise?,lark,A lark is a bird that one can hear at sunrise. All the other options are not related to a night owl.,a night owl is what you'd head at sunset and you'd hear a lark at sunrise,"Larks sing early morning while Owls stay awake late into the evening. Sun rises after dawn whereas dusk occurs before daybreak. Therefore, we will look for birds whose names relate to those two time periods. Larks come up","{'supports': 2, 'overall': 2, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 3, 'overall': 2, 'well_written': 1, 'related': 4, 'factual': 2, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 4, 'overall': 3, 'well_written': 3, 'related': 4, 'factual': 4, 'new_info': 4, 'unnecessary_info': 4, 'contrastive': 2}",0.8,0.81,0.88,0.86,-0.81,-0.28,0.683130051063973,0.843274042711568,0.59336610396393,-0.27116307227332,
Where can you buy eggs along side many other types of food?,supermarket,supermarket have eggs and many variety of other food and supermarket is place where all food items are sold.egg carton doesnt have any other food but eggs.refridgerator is not place where eggs are sold. breakfast is meal not place where food item are sold.chicken coop doesnt have any other food item for sale.,supermarkets sell eggs and other foods.,"Supermarkets sell all kinds of grocery items such as vegetables, fruits, meat etc., Eggs form a major component of our diet, hence they are available at super markets alongside with numerous others. They don'","{'supports': 1, 'overall': 4, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 1, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 3, 'overall': 2, 'well_written': 2, 'related': 4, 'factual': 2, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 4, 'overall': 2, 'well_written': 2, 'related': 4, 'factual': 4, 'new_info': 4, 'unnecessary_info': 3, 'contrastive': 2}",0.74,0.72,0.87,0.84,-0.66,-0.42,0.457604315322429,0.360041149911548,-0.150755672288882,0.108147614087175,
The child was taken against its will and what the parents?,away from,Children's will is to generally live with their parents and against children's will would to be to take them away from parents. All the other options are not what happens when children are taken against their parents.,the child was taken against its will and what the parents away from.,Parents take their children with them whenever they leave home. If someone takes a kid without his/her parent’s consent then this act is considered illegal. Taken refers to something that is stolen while carried means something that is transported.,"{'supports': 1, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 2, 'overall': 2, 'well_written': 3, 'related': 3, 'factual': 0, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 2}","{'supports': 2, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 3, 'overall': 2, 'well_written': 1, 'related': 3, 'factual': 4, 'new_info': 4, 'unnecessary_info': 4, 'contrastive': 3}",0.68,0.4,0.87,0.85,-1.18,-0.45,0.0700140042014005,0.740958573634948,0,-0.155126306998506,
"The person answered the door when the mailman knocked, what likely happened next?",receive mail,"Mailman is a person who brings mail. When a mailman comes to one's door, the person usually receives mail. One does not arm himself when a mailman knocks on the door. People do not cross street when a mailman knocks on the door. Feel sleepy is an irrelevant option. Dogs do not always bark when a mailman knocks on the door.","the person answered the door when the mailman knocked, what likely happened next was receive mail.","Mailman is a person who brings mail. When a mailman comes to one's door, the person usually receives mail. One does not arm himself when a mailman knocks on the door. People do not cross street when a mailman","{'supports': 4, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 4, 'overall': 2, 'well_written': 1, 'related': 3, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 2, 'overall': 1, 'well_written': 2, 'related': 3, 'factual': 0, 'new_info': 4, 'unnecessary_info': 4, 'contrastive': 3}",0.62,0.89,0.87,0.96,-0.86,0.19,-0.0529256124024963,0.77151674981046,0.465242105199236,-0.305505046330389,
"The water spout wouldn't turn off.  Eventually, what was totally filled?",sink,A sink can be found filled with water. As the water spout wouldn't turn off so eventually sink was totally filled. The kitchen cant be found filled with water. Fountain cant be filled if water sout wouldn't turn off. Access to water is not a correct option. Florida and water spout are not related to each other.,sink is a water spout,A sink is a place where dirty things like dishes etc are kept after cleaning them. In this case we are talking about something similar to the above. As the water didn't stop flowing from the faucet (water-sp,"{'supports': 1, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 2, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 2, 'overall': 1, 'well_written': 1, 'related': 3, 'factual': 1, 'new_info': 4, 'unnecessary_info': 4, 'contrastive': 0}",0.65,0.58,0.86,0.84,-1.8,-0.54,0.0700140042014005,0.176470588235294,0.563601861976635,-0.247536885744169,
What does a round glass do?,hold water,A round glass is a container made to hold substances like liquids. So a round glass holds water. A round glass doesn't do anything else as given in the other options.,a round glass holds water,Round objects like balls hold liquids better than other shapes due to surface tension. Water in this case is held in place at different levels within the ball rather then spread evenly across all sides causing water droplets from the bottom falling off.,"{'supports': 4, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 2, 'factual': 2, 'new_info': 4, 'unnecessary_info': 4, 'contrastive': 1}",0.77,0.53,0.89,0.85,-0.67,-0.26,-0.136082763487954,0.628828145522533,0.272165526975909,-0.632455532033676,
Where would you find cloth to sleep on?,bedroom,"Bedroom can have clothes and one sleeps in the bedroom and not in the kitchen, fabric store or a garage. Bedroom is a room in the house unlike a linen closet.",bedroom is a place to sleep.,You will not find cloth for sleeping purpose anywhere else other than your room. There are many types of rooms like kitchen etc.. But they don’t contain anything used for sleeping purpose except bedrooms. So the right choice is Bedroom.,"{'supports': 3, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 2, 'well_written': 0, 'related': 2, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 3, 'overall': 3, 'well_written': 3, 'related': 3, 'factual': 2, 'new_info': 4, 'unnecessary_info': 3, 'contrastive': 1}",0.76,0.6,0.86,0.86,-0.85,-0.46,0.108465228909328,0.683130051063973,0.596558759001304,-0.210818510677892,
Where would you find several businesses in the same location?,office building,An office business can have several businesses which can exist in the same location. Office building has a registered address unlike art or a big city. A part cannot have several businesses and a skyscraper need not only have businesses.,offices are often located in a building.,Several businesses like multiple offices can be found at a single place called office buildings. Multiple stores together form malls where people buy goods. This question should not have been tagged with “office” since they both mean different things.,"{'supports': 4, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 1, 'overall': 2, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 3, 'overall': 3, 'well_written': 1, 'related': 3, 'factual': 3, 'new_info': 4, 'unnecessary_info': 2, 'contrastive': 0}",0.66,0.44,0.82,0.8,-0.96,-0.53,0.158776837207489,0.77151674981046,0.338061701891407,0.372193684159388,
what happens to a company when it is bankrupt?,liquidated,"When a company is bankrupt, its liquidated as its assets are converted into cash. A bankrupt company doesn’t have resources are its converted to cash. It can’t branch out nor commit crime as its not functioning being liquidated. Game over is not a valid answer because there is no game in a company going bankrupt.",liquidation is the process of reorganizing a company.,"Bankruptcy means insolvency for financial reasons. This term is used more often with companies than individuals. In this case, ""liquidate"" refers to converting non-cash assets such as real estate or equipment into cash through","{'supports': 0, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 2, 'new_info': 3, 'unnecessary_info': 2, 'contrastive': 1}","{'supports': 1, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 3, 'overall': 3, 'well_written': 2, 'related': 3, 'factual': 3, 'new_info': 4, 'unnecessary_info': 2, 'contrastive': 0}",0.56,0.65,0.85,0.85,-0.89,-0.27,0,0.77151674981046,0.211702449609985,0.476190476190476,
